Column,Type
title,object
adult_True,int64
Language_encoded_de,int64
Language_encoded_en,int64
Language_encoded_es,int64
Language_encoded_fr,int64
Language_encoded_it,int64
Language_encoded_ja,int64
Language_encoded_ko,int64
Language_encoded_pt,int64
Language_encoded_ru,int64
Language_encoded_zh,int64
Action,int64
Adventure,int64
Animation,int64
Comedy,int64
Crime,int64
Documentary,int64
Drama,int64
Family,int64
Fantasy,int64
History,int64
Horror,int64
Music,int64
Mystery,int64
Romance,int64
Science Fiction,int64
TV Movie,int64
Thriller,int64
War,int64
Western,int64
Unnamed: 31,int64
Argentina,int64
Brazil,int64
Canada,int64
China,int64
France,int64
Germany,int64
India,int64
Italy,int64
Japan,int64
Mexico,int64
Russia,int64
South Korea,int64
Soviet Union,int64
Spain,int64
United Kingdom,int64
United States of America,int64
other,int64
release_date_Contemporary Cinema,int64
release_date_Golden Age of Hollywood,int64
release_date_Modern Cinema,int64
release_date_New Hollywood and Blockbuster Era,int64
release_date_Post-War and Classic Cinema,int64
release_date_Silent Era,int64
